Date,Open,High,Low,Close,Adj Close,Volume
1996-06-10,12.46,12.46,12.46,12.46,2.13,0
1996-06-11,12.48,12.48,12.48,12.48,2.13,0
1996-06-12,12.48,12.48,12.48,12.48,2.13,0
1996-06-13,12.43,12.43,12.43,12.43,2.12,0
1996-06-14,12.38,12.38,12.38,12.38,2.12,0
1996-06-17,12.34,12.34,12.34,12.34,2.11,0
1996-06-18,12.27,12.27,12.27,12.27,2.10,0
1996-06-19,12.19,12.19,12.19,12.19,2.08,0
1996-06-20,12.09,12.09,12.09,12.09,2.07,0
1996-06-21,12.13,12.13,12.13,12.13,2.07,0
1996-06-24,12.17,12.17,12.17,12.17,2.08,0
1996-06-25,12.11,12.11,12.11,12.11,2.07,0
1996-06-26,12.01,12.01,12.01,12.01,2.05,0
1996-06-27,12.01,12.01,12.01,12.01,2.05,0
1996-06-28,12.16,12.16,12.16,12.16,2.08,0
1996-07-01,12.20,12.20,12.20,12.20,2.08,0
1996-07-02,12.19,12.19,12.19,12.19,2.08,0
1996-07-03,12.16,12.16,12.16,12.16,2.08,0
1996-07-05,12.01,12.01,12.01,12.01,2.05,0
1996-07-08,11.95,11.95,11.95,11.95,2.04,0
1996-07-09,11.96,11.96,11.96,11.96,2.04,0
1996-07-10,11.87,11.87,11.87,11.87,2.03,0
1996-07-11,11.63,11.63,11.63,11.63,1.99,0
1996-07-12,11.62,11.62,11.62,11.62,1.99,0
1996-07-15,11.36,11.36,11.36,11.36,1.94,0
1996-07-16,11.22,11.22,11.22,11.22,1.92,0
1996-07-17,11.39,11.39,11.39,11.39,1.95,0
1996-07-18,11.39,11.39,11.39,11.39,1.95,0
1996-07-19,11.49,11.49,11.49,11.49,1.96,0
1996-07-22,11.39,11.39,11.39,11.39,1.95,0
1996-07-23,11.25,11.25,11.25,11.25,1.92,0
1996-07-24,11.10,11.10,11.10,11.10,1.90,0
1996-07-25,11.21,11.21,11.21,11.21,1.92,0
1996-07-26,11.28,11.28,11.28,11.28,1.93,0
1996-07-29,11.25,11.25,11.25,11.25,1.92,0
1996-07-30,11.27,11.27,11.27,11.27,1.93,0
1996-07-31,11.35,11.35,11.35,11.35,1.94,0
1996-08-01,11.45,11.45,11.45,11.45,1.96,0
1996-08-02,11.57,11.57,11.57,11.57,1.98,0
1996-08-05,11.57,11.57,11.57,11.57,1.98,0
1996-08-06,11.59,11.59,11.59,11.59,1.98,0
1996-08-07,11.65,11.65,11.65,11.65,1.99,0
1996-08-08,11.65,11.65,11.65,11.65,1.99,0
1996-08-09,11.64,11.64,11.64,11.64,1.99,0
1996-08-12,11.66,11.66,11.66,11.66,1.99,0
1996-08-13,11.60,11.60,11.60,11.60,1.98,0
1996-08-14,11.64,11.64,11.64,11.64,1.99,0
1996-08-15,11.69,11.69,11.69,11.69,2.00,0
1996-08-16,11.76,11.76,11.76,11.76,2.01,0
1996-08-19,11.77,11.77,11.77,11.77,2.01,0
1996-08-20,11.78,11.78,11.78,11.78,2.01,0
1996-08-21,11.76,11.76,11.76,11.76,2.01,0
1996-08-22,11.82,11.82,11.82,11.82,2.02,0
1996-08-23,11.84,11.84,11.84,11.84,2.02,0
1996-08-26,11.82,11.82,11.82,11.82,2.02,0
1996-08-27,11.88,11.88,11.88,11.88,2.03,0
1996-08-28,11.92,11.92,11.92,11.92,2.04,0
1996-08-29,11.88,11.88,11.88,11.88,2.03,0
1996-08-30,11.87,11.87,11.87,11.87,2.03,0
1996-09-03,11.84,11.84,11.84,11.84,2.02,0
1996-09-04,11.91,11.91,11.91,11.91,2.04,0
1996-09-05,11.84,11.84,11.84,11.84,2.02,0
1996-09-06,11.92,11.92,11.92,11.92,2.04,0
1996-09-09,11.96,11.96,11.96,11.96,2.04,0
1996-09-10,11.97,11.97,11.97,11.97,2.05,0
1996-09-11,11.98,11.98,11.98,11.98,2.05,0
1996-09-12,12.02,12.02,12.02,12.02,2.05,0
1996-09-13,12.06,12.06,12.06,12.06,2.06,0
1996-09-16,12.07,12.07,12.07,12.07,2.06,0
1996-09-17,12.07,12.07,12.07,12.07,2.06,0
1996-09-18,12.06,12.06,12.06,12.06,2.06,0
1996-09-19,12.03,12.03,12.03,12.03,2.06,0
1996-09-20,12.08,12.08,12.08,12.08,2.06,0
